SampleName,GMHI,Microbiome,SampleNum,Rep
S4-18-2,2.010112615,S4,18,2
S15-18-2,2.198262092,S15,18,2
S2-18-1,2.484444938,S2,18,1
S6-18-1,0.971553487,S6,18,1
S6-18-2,0,S6,18,2
S9-18-2,3.820697467,S9,18,2
S14-18-1,1.047231461,S14,18,1
S15-18-3,1.828575711,S15,18,3
S12-18-1,1.52463469,S12,18,1
S3-18-1,3.070842253,S3,18,1
S8-18-2,2.676261253,S8,18,2
S5-18-3,-0.583906846,S5,18,3
S7-18-1,3.118759381,S7,18,1
S7-18-2,3.047250143,S7,18,2
S9-18-1,3.519836301,S9,18,1
S13-18-2,0.49795806,S13,18,2
S10-18-1,3.314350342,S10,18,1
S13-18-3,1.610068071,S13,18,3
S9-18-3,3.821221282,S9,18,3
S6-18-3,0,S6,18,3
S3-18-2,3.115461814,S3,18,2
S3-18-3,3.379097373,S3,18,3
S8-18-3,3.139387978,S8,18,3
S2-18-2,1.337078311,S2,18,2
S2-18-3,1.650936569,S2,18,3
S11-18-1,2.110541713,S11,18,1
S11-18-2,2.166000228,S11,18,2
S4-18-3,1.85907379,S4,18,3
S13-18-1,0.824014133,S13,18,1
S16-18-1,4.021824002,S16,18,1
S10-18-2,3.190594482,S10,18,2
S10-18-3,3.163294944,S10,18,3
S12-18-3,1.496711998,S12,18,3
S5-18-2,-0.731591767,S5,18,2
S1-18-1,1.222412527,S1,18,1
S1-18-3,0.810556488,S1,18,3
S11-18-3,0.190503567,S11,18,3
S7-18-3,2.97245477,S7,18,3
S14-18-3,0,S14,18,3
S16-18-2,3.948423851,S16,18,2
S16-18-3,4.198676831,S16,18,3
S5-18-1,-0.802757085,S5,18,1
S12-18-2,1.62035815,S12,18,2
S1-18-2,1.830526398,S1,18,2
S2-19-2,2.928079977,S2,19,2
S9-19-2,3.449991921,S9,19,2
S2-19-1,2.133932468,S2,19,1
S15-19-1,2.484984532,S15,19,1
S9-19-1,2.443714361,S9,19,1
